ts,appid,name,players
2025-06-30T00:00:00Z,3489700,Stellar Blade,60529
2025-07-01T00:00:00Z,1934570,South of Midnight,179
2025-07-01T00:00:00Z,3159330,Assassin's Creed Shadows,4739
2025-07-01T00:00:00Z,3489700,Stellar Blade,57421
2025-07-02T00:00:00Z,1934570,South of Midnight,172
2025-07-02T00:00:00Z,3159330,Assassin's Creed Shadows,4653
2025-07-02T00:00:00Z,3489700,Stellar Blade,49509
2025-07-03T00:00:00Z,1934570,South of Midnight,146
2025-07-03T00:00:00Z,3159330,Assassin's Creed Shadows,4665
2025-07-03T00:00:00Z,3489700,Stellar Blade,44526
2025-07-04T00:00:00Z,1934570,South of Midnight,192
2025-07-04T00:00:00Z,3159330,Assassin's Creed Shadows,5183
2025-07-04T00:00:00Z,3489700,Stellar Blade,44053
2025-07-05T00:00:00Z,1934570,South of Midnight,235
2025-07-05T00:00:00Z,3159330,Assassin's Creed Shadows,5832
2025-07-05T00:00:00Z,3489700,Stellar Blade,48217
2025-07-06T00:00:00Z,1934570,South of Midnight,239
2025-07-06T00:00:00Z,3159330,Assassin's Creed Shadows,6554
2025-07-06T00:00:00Z,3489700,Stellar Blade,48174
2025-07-07T00:00:00Z,1934570,South of Midnight,187
2025-07-07T00:00:00Z,2443720,Concord,1
2025-07-07T00:00:00Z,3159330,Assassin's Creed Shadows,5205
2025-07-07T00:00:00Z,3489700,Stellar Blade,39947
2025-07-08T00:00:00Z,1934570,South of Midnight,162
2025-07-08T00:00:00Z,3159330,Assassin's Creed Shadows,5006
2025-07-08T00:00:00Z,3489700,Stellar Blade,37480
2025-07-09T00:00:00Z,1934570,South of Midnight,153
2025-07-09T00:00:00Z,3159330,Assassin's Creed Shadows,4837
2025-07-09T00:00:00Z,3489700,Stellar Blade,34673
2025-07-10T00:00:00Z,1934570,South of Midnight,146
2025-07-10T00:00:00Z,3159330,Assassin's Creed Shadows,5021
2025-07-10T00:00:00Z,3489700,Stellar Blade,31954
2025-07-11T00:00:00Z,1934570,South of Midnight,155
2025-07-11T00:00:00Z,3159330,Assassin's Creed Shadows,5137
2025-07-11T00:00:00Z,3489700,Stellar Blade,29852
2025-07-12T00:00:00Z,1934570,South of Midnight,168
2025-07-12T00:00:00Z,3159330,Assassin's Creed Shadows,6300
2025-07-12T00:00:00Z,3489700,Stellar Blade,34733
2025-07-13T00:00:00Z,1934570,South of Midnight,199
2025-07-13T00:00:00Z,3159330,Assassin's Creed Shadows,6968
2025-07-13T00:00:00Z,3489700,Stellar Blade,34769
2025-07-14T00:00:00Z,1934570,South of Midnight,141
2025-07-14T00:00:00Z,2443720,Concord,1
2025-07-14T00:00:00Z,3159330,Assassin's Creed Shadows,5505
2025-07-14T00:00:00Z,3489700,Stellar Blade,28867
2025-07-15T00:00:00Z,1934570,South of Midnight,119
2025-07-15T00:00:00Z,3159330,Assassin's Creed Shadows,5233
2025-07-15T00:00:00Z,3489700,Stellar Blade,27089
2025-07-16T00:00:00Z,1934570,South of Midnight,109
2025-07-16T00:00:00Z,3159330,Assassin's Creed Shadows,5099
2025-07-16T00:00:00Z,3489700,Stellar Blade,25021
2025-07-17T00:00:00Z,1934570,South of Midnight,112
2025-07-17T00:00:00Z,3159330,Assassin's Creed Shadows,5093
2025-07-17T00:00:00Z,3489700,Stellar Blade,22127
2025-07-18T00:00:00Z,1934570,South of Midnight,94
2025-07-18T00:00:00Z,3159330,Assassin's Creed Shadows,5073
2025-07-18T00:00:00Z,3489700,Stellar Blade,21899
2025-07-19T00:00:00Z,1934570,South of Midnight,138
2025-07-19T00:00:00Z,3159330,Assassin's Creed Shadows,6041
2025-07-19T00:00:00Z,3489700,Stellar Blade,25415
2025-07-20T00:00:00Z,1934570,South of Midnight,140
2025-07-20T00:00:00Z,3159330,Assassin's Creed Shadows,6653
2025-07-20T00:00:00Z,3489700,Stellar Blade,25918
2025-07-21T00:00:00Z,1934570,South of Midnight,122
2025-07-21T00:00:00Z,3159330,Assassin's Creed Shadows,5232
2025-07-21T00:00:00Z,3489700,Stellar Blade,21876
2025-07-22T00:00:00Z,1934570,South of Midnight,101
2025-07-22T00:00:00Z,3159330,Assassin's Creed Shadows,5118
2025-07-22T00:00:00Z,3489700,Stellar Blade,20654
2025-07-23T00:00:00Z,1934570,South of Midnight,95
2025-07-23T00:00:00Z,3159330,Assassin's Creed Shadows,4968
2025-07-23T00:00:00Z,3489700,Stellar Blade,20015
2025-07-24T00:00:00Z,1934570,South of Midnight,89
2025-07-24T00:00:00Z,3159330,Assassin's Creed Shadows,4463
2025-07-24T00:00:00Z,3489700,Stellar Blade,16623
2025-07-25T00:00:00Z,1934570,South of Midnight,93
2025-07-25T00:00:00Z,3159330,Assassin's Creed Shadows,4743
2025-07-25T00:00:00Z,3489700,Stellar Blade,16720
2025-07-26T00:00:00Z,1934570,South of Midnight,117
2025-07-26T00:00:00Z,2443720,Concord,1
2025-07-26T00:00:00Z,3159330,Assassin's Creed Shadows,5489
2025-07-26T00:00:00Z,3489700,Stellar Blade,19474
2025-07-27T00:00:00Z,1934570,South of Midnight,117
2025-07-27T00:00:00Z,3159330,Assassin's Creed Shadows,5845
2025-07-27T00:00:00Z,3489700,Stellar Blade,20406
2025-07-28T00:00:00Z,1934570,South of Midnight,101
2025-07-28T00:00:00Z,3159330,Assassin's Creed Shadows,4390
2025-07-28T00:00:00Z,3489700,Stellar Blade,17570
2025-07-29T00:00:00Z,1934570,South of Midnight,79
2025-07-29T00:00:00Z,3159330,Assassin's Creed Shadows,4498
2025-07-29T00:00:00Z,3489700,Stellar Blade,17080
2025-07-30T00:00:00Z,1934570,South of Midnight,85
2025-07-30T00:00:00Z,3159330,Assassin's Creed Shadows,4509
2025-07-30T00:00:00Z,3489700,Stellar Blade,16011
2025-07-31T00:00:00Z,1934570,South of Midnight,80
2025-07-31T00:00:00Z,2443720,Concord,1
2025-07-31T00:00:00Z,3159330,Assassin's Creed Shadows,4385
2025-07-31T00:00:00Z,3489700,Stellar Blade,14620
2025-08-01T00:00:00Z,1934570,South of Midnight,83
2025-08-01T00:00:00Z,3159330,Assassin's Creed Shadows,4348
2025-08-01T00:00:00Z,3489700,Stellar Blade,14260
2025-08-02T00:00:00Z,1934570,South of Midnight,97
2025-08-02T00:00:00Z,3159330,Assassin's Creed Shadows,5047
2025-08-02T00:00:00Z,3489700,Stellar Blade,16267
2025-08-03T00:00:00Z,1934570,South of Midnight,101
2025-08-03T00:00:00Z,3159330,Assassin's Creed Shadows,5460
2025-08-03T00:00:00Z,3489700,Stellar Blade,17000
2025-08-04T00:00:00Z,1934570,South of Midnight,100
2025-08-04T00:00:00Z,3159330,Assassin's Creed Shadows,4160
2025-08-04T00:00:00Z,3489700,Stellar Blade,14002
2025-08-05T00:00:00Z,1934570,South of Midnight,77
2025-08-05T00:00:00Z,3159330,Assassin's Creed Shadows,3930
2025-08-05T00:00:00Z,3489700,Stellar Blade,13792
2025-08-06T00:00:00Z,1934570,South of Midnight,69
2025-08-06T00:00:00Z,3159330,Assassin's Creed Shadows,3683
2025-08-06T00:00:00Z,3489700,Stellar Blade,12940
2025-08-07T00:00:00Z,1934570,South of Midnight,75
2025-08-07T00:00:00Z,3159330,Assassin's Creed Shadows,3488
2025-08-07T00:00:00Z,3489700,Stellar Blade,11613
2025-08-08T00:00:00Z,1934570,South of Midnight,73
2025-08-08T00:00:00Z,3159330,Assassin's Creed Shadows,3458
2025-08-08T00:00:00Z,3489700,Stellar Blade,11494
2025-08-09T00:00:00Z,1934570,South of Midnight,92
2025-08-09T00:00:00Z,3159330,Assassin's Creed Shadows,4121
2025-08-09T00:00:00Z,3489700,Stellar Blade,13296
